Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Param_Std                
0                        0.01460434337457021      200000.0                 83.34034797470362        1000.0                   32                       25.884457230781425       1000.0                   200                      0.4850984811782837       
10                       0.1425950629843606       2200000.0                98.64600166971601        1000.0                   32                       59.692395043613          1000.0                   200                      0.37580499053001404      
20                       0.2709309228923586       4200000.0                224.0494792968832        1000.0                   32                       137.45049113412225       1000.0                   200                      0.29799792170524597      
30                       0.39873964534865486      6200000.0                213.48796928908143       1000.0                   32                       186.71961691101257       1000.0                   200                      0.23920738697052002      
40                       0.5261766980754005       8200000.0                265.0200217374527        1000.0                   32                       236.9028881096552        1000.0                   200                      0.21743568778038025      
50                       0.654312768512302        10200000.0               241.20950684173567       1000.0                   32                       232.4806143878972        1000.0                   200                      0.2030618041753769       
60                       0.7823653679423862       12200000.0               277.96477586815695       1000.0                   32                       246.01945332866097       1000.0                   200                      0.19519732892513275      
70                       0.910230583747228        14200000.0               264.46775240583565       1000.0                   32                       245.32546461529546       1000.0                   200                      0.18133427202701569      
80                       1.036950578159756        16200000.0               282.9261152768172        1000.0                   32                       264.24730526055237       1000.0                   200                      0.1687341332435608       
90                       1.16391602271133         18200000.0               276.87929943219103       1000.0                   32                       276.1703134316308        1000.0                   200                      0.16338194906711578      
100                      1.2911964866850112       20200000.0               299.26768323758006       1000.0                   32                       282.90181619469695       1000.0                   200                      0.15614844858646393      
110                      1.4184937836726506       22200000.0               293.24181216543184       1000.0                   32                       287.3930874448688        1000.0                   200                      0.14896529912948608      
120                      1.5458014562394884       24200000.0               297.0106849956246        1000.0                   32                       286.21728413341015       1000.0                   200                      0.14998812973499298      
130                      1.6730736557642618       26200000.0               303.79169368354997       1000.0                   32                       290.1931367539829        1000.0                   200                      0.15257400274276733      
140                      1.8004006104336845       28200000.0               310.4749905868939        1000.0                   32                       289.2822046149924        1000.0                   200                      0.16239763796329498      
150                      1.927862164841758        30200000.0               309.3205778006163        1000.0                   32                       294.801026270659         1000.0                   200                      0.16845089197158813      
160                      2.055128366748492        32200000.0               298.73686049329126       1000.0                   32                       298.17132064023883       1000.0                   200                      0.16895459592342377      
170                      2.1818848815891476       34200000.0               305.0942007760758        1000.0                   32                       302.7073780466041        1000.0                   200                      0.17353974282741547      
180                      2.309281420376566        36200000.0               323.44050904447795       1000.0                   32                       302.53628934889576       1000.0                   200                      0.17810691893100739      
190                      2.4362576799260247       38200000.0               317.48056760737813       1000.0                   32                       302.38756424532374       1000.0                   200                      0.18226110935211182      
200                      2.5650564558638465       40200000.0               319.3530146084431        1000.0                   32                       302.6564790694997        1000.0                   200                      0.17346669733524323      
210                      2.6938843659559883       42200000.0               310.32977902754817       1000.0                   32                       313.3814645818734        1000.0                   200                      0.16351006925106049      
220                      2.8228718170192506       44200000.0               290.3832331984272        1000.0                   32                       303.44107914037596       1000.0                   200                      0.16858641803264618      
230                      2.951258882681529        46200000.0               339.6309388181421        1000.0                   32                       310.91532219815036       1000.0                   200                      0.1653863936662674       
240                      3.080153143538369        48200000.0               324.4227466648849        1000.0                   32                       304.34572025501876       1000.0                   200                      0.1687210202217102       
250                      3.20874454372459         50200000.0               343.83768960890234       1000.0                   32                       312.19804173334234       1000.0                   200                      0.1579090654850006       
260                      3.33556384285291         52200000.0               329.6390048409288        1000.0                   32                       322.57763461856104       1000.0                   200                      0.15173272788524628      
270                      3.463115927245882        54200000.0               317.3570945926258        1000.0                   32                       327.94657940805615       1000.0                   200                      0.15665242075920105      
280                      3.590590463346905        56200000.0               327.61909182459976       1000.0                   32                       326.4838746713629        1000.0                   200                      0.1631019413471222       
290                      3.7180073722203573       58200000.0               337.66885044816433       1000.0                   32                       310.2654298782614        1000.0                   200                      0.15949581563472748      
300                      3.845717124938965        60200000.0               341.4037278313227        1000.0                   32                       332.0558537512894        1000.0                   200                      0.15468940138816833      
310                      3.974298059807883        62200000.0               352.57188699929657       1000.0                   32                       326.5863957419425        1000.0                   200                      0.15984444320201874      
320                      4.103110395934847        64200000.0               343.1955393730432        1000.0                   32                       335.4356216184618        1000.0                   200                      0.1608651578426361       
330                      4.231792895595233        66200000.0               334.4001144320825        1000.0                   32                       324.9008388809596        1000.0                   200                      0.15775886178016663      
340                      4.360443813270993        68200000.0               357.80848855718807       1000.0                   32                       323.44832747899835       1000.0                   200                      0.15529778599739075      
