Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Action_Bound_Loss        Adv_Mean                 Adv_Std                  
0                        0.003377260234620836     4096                     0.10398543070692218      1000.0                   32                       3.4814364910125732       1000.0                   4                        0.28108951449394226      -0.04158468544483185     0.0                      0.3487520217895508       0.13660399615764618      
50                       0.031971142292022706     208896                   0.2650079062512156       1000.0                   32                       3.500199556350708        1000.0003051757812       204                      0.10109914839267731      -0.024698171764612198    0.0                      0.0065079908818006516    0.14255587756633759      
100                      0.0605200285381741       413696                   7.105560447491596        1000.0                   32                       4.7943949699401855       1000.0003051757812       204                      0.32918915152549744      0.010178353637456894     0.0                      0.06080089509487152      0.25583726167678833      
150                      0.08892525752385458      618496                   35.825190999846484       1000.0                   32                       19.256973266601562       1000.0003051757812       204                      2.6844468116760254       0.02402183972299099      0.0                      0.024623148143291473     0.7365415692329407       
200                      0.1174200658665763       823296                   35.780450270436944       1000.0                   32                       29.870010375976562       1000.0003051757812       204                      2.5104241371154785       0.01491675153374672      0.0001907238911371678    0.04266396164894104      0.722765326499939        
250                      0.14586695505513086      1028096                  59.40163458124688        1000.0                   32                       39.492523193359375       1000.0003051757812       204                      20.631568908691406       0.05919668823480606      0.00220071361400187      -0.9609137177467346      2.256500720977783        
300                      0.1741921681827969       1232896                  74.67374953919531        1000.0                   32                       53.790008544921875       1000.0003051757812       204                      30.84911346435547        -0.014260460622608662    0.0008645429043099284    -0.608761727809906       2.7565102577209473       
350                      0.20248182700739967      1437696                  71.9375185254145         1000.0                   32                       58.49357986450195        1000.0003051757812       204                      14.929043769836426       0.02721661701798439      1.619355202819861e-06    0.3887938857078552       1.9925479888916016       
400                      0.2308168309264713       1642496                  85.86532524173857        1000.0                   32                       68.71683502197266        1000.0003051757812       204                      34.0828971862793         -0.03267788141965866     0.0                      -0.28159022331237793     2.889369487762451        
450                      0.25920066807005143      1847296                  62.895210570417184       1000.0                   32                       69.07964324951172        1000.0003051757812       204                      21.823007583618164       -0.04107861965894699     0.0025103881489485502    0.31025585532188416      2.436844825744629        
500                      0.28754378338654835      2052096                  72.22873623226376        1000.0                   32                       69.209228515625          1000.0003051757812       204                      42.06975555419922        0.01815798506140709      0.001176538411527872     0.05276043713092804      3.5493288040161133       
550                      0.3159029179811478       2256896                  73.13609357408868        1000.0                   32                       71.33235168457031        1000.0003051757812       204                      16.909746170043945       0.02686186134815216      3.805440428550355e-06    0.41121217608451843      2.0727880001068115       
600                      0.3442028898662991       2461696                  76.51995183519239        1000.0                   32                       71.51607513427734        1000.0003051757812       204                      9.391023635864258        -0.016378413885831833    0.0                      -0.015859320759773254    1.5968849658966064       
650                      0.3725114502509435       2666496                  75.78656338916123        1000.0                   32                       68.49227142333984        1000.0003051757812       204                      26.24045753479004        -0.015071035362780094    1.843143218138721e-05    0.5434539318084717       2.5559515953063965       
700                      0.40094758768876393      2871296                  73.19485692775451        1000.0                   32                       68.22300720214844        1000.0003051757812       204                      77.98485565185547        0.014730450697243214     0.001009413506835699     3.134850263595581        5.226770877838135        
750                      0.42922818276617264      3076096                  76.3391822469052         1000.0                   32                       71.70094299316406        1000.0003051757812       204                      18.26543426513672        0.007846739143133163     0.0008430678281001747    0.2572717070579529       2.782144069671631        
800                      0.4575380865070555       3280896                  93.99448811219357        1000.0                   32                       75.92304992675781        1000.0003051757812       204                      12.414986610412598       9.200535714626312e-06    0.0                      -0.08359302580356598     1.7508972883224487       
850                      0.48558038181728785      3485696                  83.74417610561889        1000.0                   32                       77.13179779052734        1000.0003051757812       204                      29.29833984375           -0.02201877161860466     0.0                      0.35000327229499817      2.6138062477111816       
900                      0.5138034014569388       3690496                  102.30029495972886       1000.0                   32                       72.82865905761719        1000.0003051757812       204                      10.281217575073242       -0.011776503175497055    3.449250243647839e-06    -0.00896221213042736     1.6108372211456299       
950                      0.542027831143803        3895296                  71.85423320482309        1000.0                   32                       78.18024444580078        1000.0003051757812       204                      19.458206176757812       0.018677979707717896     0.0005206194473430514    0.1325167566537857       2.3802359104156494       
1000                     0.5702746226390203       4100096                  72.26731918823555        1000.0                   32                       69.57304382324219        1000.0003051757812       204                      27.379253387451172       -0.03911750763654709     0.0007151739555411041    -0.2605516314506531      2.7409112453460693       
1050                     0.5985702091455459       4304896                  71.31820810338435        1000.0                   32                       73.59376525878906        1000.0003051757812       204                      10.391927719116211       -0.0029894374310970306   4.263124537828844e-06    -0.2779683470726013      1.6034798622131348       
1100                     0.6268117625845803       4509696                  83.15623639446427        1000.0                   32                       83.0573501586914         1000.0003051757812       204                      37.43839645385742        0.007756602484732866     0.0013876964803785086    -0.1113111674785614      3.0703964233398438       
1150                     0.6551563585466809       4714496                  88.43444030380414        1000.0                   32                       74.9334945678711         1000.0003051757812       204                      43.069828033447266       -0.014098326675593853    0.0011565351160243154    0.35063064098358154      3.613077163696289        
1200                     0.6834856093592114       4919296                  87.76239610328291        1000.0                   32                       80.28411102294922        1000.0003051757812       204                      12.533105850219727       0.0010535505134612322    3.388685217942111e-05    -0.406512975692749       1.8076086044311523       
1250                     0.7117890940109889       5124096                  76.15796066328657        1000.0                   32                       79.469482421875          1000.0003051757812       204                      46.79412078857422        0.008775097317993641     0.0                      -0.46942394971847534     3.411053419113159        
1300                     0.7400659945276048       5328896                  100.80633200969213       1000.0                   32                       82.97852325439453        1000.0003051757812       204                      35.13312530517578        -0.03781314939260483     2.851626049960032e-05    0.8969734907150269       2.903475761413574        
1350                     0.7684236347675324       5533696                  80.0591025407714         1000.0                   32                       85.8027114868164         1000.0003051757812       204                      34.57965087890625        -0.019479183480143547    7.091094448696822e-05    0.28476253151893616      3.0681817531585693       
1400                     0.796973225540585        5738496                  95.00567331053365        1000.0                   32                       88.86982727050781        1000.0003051757812       204                      24.992673873901367       -0.03903641924262047     1.318083559453953e-05    -0.8881295919418335      2.686763286590576        
1450                     0.8255046830574672       5943296                  73.6177455913259         1000.0                   32                       97.826904296875          1000.0003051757812       204                      12.0248384475708         0.04466439038515091      8.697885505171143e-07    -0.2742527723312378      1.9533401727676392       
1500                     0.8540365381373299       6148096                  78.38566785676414        1000.0                   32                       92.11289978027344        1000.0003051757812       204                      17.592958450317383       0.018901197239756584     0.00017891039897222072   0.4271046221256256       2.0975453853607178       
1550                     0.8826537851492564       6352896                  66.77081696931505        1000.0                   32                       88.88262176513672        1000.0003051757812       204                      23.951656341552734       -0.014236122369766235    0.00013307039625942707   0.05199330672621727      2.6255528926849365       
1600                     0.9109875371721056       6557696                  86.45745158592837        1000.0                   32                       87.59893798828125        1000.0003051757812       204                      31.128442764282227       -0.000758402980864048    0.0005383116076700389    0.7913622260093689       2.9144234657287598       
1650                     0.9392911382516225       6762496                  89.0488212661381         1000.0                   32                       87.85627746582031        1000.0003051757812       204                      30.361370086669922       0.02089889533817768      5.630271516565699e-06    -0.2167065590620041      2.8732335567474365       
1700                     0.967723567419582        6967296                  90.75996785574031        1000.0                   32                       93.75157165527344        1000.0003051757812       204                      103.6114501953125        -0.034221962094306946    0.00010019740147981793   -1.3352166414260864      5.044748783111572        
1750                     0.9962897157669067       7172096                  101.08413340533254       1000.0                   32                       97.02493286132812        1000.0003051757812       204                      14.106988906860352       -0.03469805046916008     0.00041233119554817677   -0.8151125311851501      2.1819286346435547       
1800                     1.0248031251298058       7376896                  92.81964948323242        1000.0                   32                       95.216796875             1000.0003051757812       204                      11.638294219970703       0.008863293565809727     2.2917904061614536e-05   -0.09161004424095154     1.8586615324020386       
1850                     1.0533079397678375       7581696                  101.0491137179723        1000.0                   32                       97.81304931640625        1000.0003051757812       204                      36.472084045410156       -0.021934406831860542    1.3623202903545462e-05   -0.46772703528404236     3.030665397644043        
1900                     1.081869441072146        7786496                  83.19869598726035        1000.0                   32                       96.15840911865234        1000.0003051757812       204                      65.79278564453125        0.023679733276367188     0.0001543362595839426    3.379261016845703        4.015783309936523        
1950                     1.1104596367147235       7991296                  75.25829335989349        1000.0                   32                       92.39530944824219        1000.0003051757812       204                      31.014875411987305       0.006483434699475765     2.8128266421845183e-05   0.8038746118545532       2.905841112136841        
2000                     1.139022277328703        8196096                  59.869850273875336       1000.0                   32                       92.74002075195312        1000.0003051757812       204                      11.906196594238281       -0.003966744989156723    8.854064071783796e-05    0.8249180912971497       2.059673309326172        
2050                     1.167561166882515        8400896                  49.68488555010125        1000.0                   32                       100.65974426269531       1000.0003051757812       204                      7.61381196975708         0.01785479113459587      1.8645487216417678e-05   -0.5192363858222961      2.027794122695923        
2100                     1.1961157480213378       8605696                  83.06993551792091        1000.0                   32                       93.5835189819336         1000.0003051757812       204                      42.51943588256836        -0.006494256667792797    0.00015511624224018306   -0.434362530708313       3.6931912899017334       
2150                     1.2246527004241943       8810496                  69.02604530043196        1000.0                   32                       104.5633544921875        1000.0003051757812       204                      41.952728271484375       -0.034070733934640884    3.643150193965994e-05    0.20179417729377747      3.5406954288482666       
2200                     1.2532217550939984       9015296                  103.24321123256738       1000.0                   32                       101.94112396240234       1000.0003051757812       204                      11.714103698730469       0.03232385590672493      2.287382585564046e-06    0.2542665898799896       1.6982730627059937       
2250                     1.2817871652709114       9220096                  99.85506216943273        1000.0                   32                       102.43460083007812       1000.0003051757812       204                      19.123310089111328       0.027530206367373466     2.782493902486749e-05    0.22792835533618927      2.3324151039123535       
2300                     1.3102847564220428       9424896                  128.90111520340122       1000.0                   32                       108.9864501953125        1000.0003051757812       204                      37.42878723144531        0.02241344377398491      0.0006680525257252157    -1.3024849891662598      3.213779926300049        
2350                     1.3388817568620046       9629696                  122.18690074469632       1000.0                   32                       110.65789031982422       1000.0003051757812       204                      87.81034088134766        0.030291063711047173     1.723732765412933e-07    0.8992331624031067       4.676863193511963        
2400                     1.3673908634318246       9834496                  134.21575249462546       1000.0                   32                       117.19182586669922       1000.0003051757812       204                      69.3914794921875         0.02694595232605934      0.00021307049610186368   0.13400961458683014      4.237475395202637        
2450                     1.395876674056053        10039296                 148.58421212932976       1000.0                   32                       125.47964477539062       1000.0003051757812       204                      62.95093536376953        0.02809414640069008      9.315319766756147e-05    0.616559624671936        4.121128559112549        
2500                     1.4243767293956544       10244096                 103.63256901584317       1000.0                   32                       121.73453521728516       1000.0003051757812       204                      54.878028869628906       -0.033873509615659714    0.00024860264966264367   1.0616183280944824       3.944934844970703        
2550                     1.4528545407454172       10448896                 95.08485383915341        1000.0                   32                       106.10209655761719       1000.0003051757812       204                      22.31493377685547        -0.011109735816717148    1.1721658665919676e-06   0.3910568654537201       2.3686113357543945       
2600                     1.4813884384102292       10653696                 104.00707918768762       1000.0                   32                       100.16373443603516       1000.0003051757812       204                      28.689374923706055       -0.029405085369944572    7.533879852417158e-06    0.12060388177633286      2.848393678665161        
2650                     1.5098958071072897       10858496                 96.8035212144034         1000.0                   32                       96.15943145751953        1000.0003051757812       204                      20.588706970214844       -0.03168972581624985     3.3461610655649565e-06   0.9176899194717407       2.6694750785827637       
2700                     1.5383991128868526       11063296                 98.08099061499314        1000.0                   32                       100.47039794921875       1000.0003051757812       204                      24.77556800842285        0.03872358426451683      0.0006153290160000324    -0.8866915106773376      2.8695528507232666       
